|Attribute|Element(s)|Description|Value
113|title|abbr;dfn|Fulltermorexpansionofabbreviation|Text
114|title|command|Hintdescribingthecommand|Text
115|title|link|Titleofthelink|Text
116|title|link;style|Alternativestylesheetsetname|Text
117|type|a;area;link|Hintforthetypeofthereferencedresource|ValidMIMEtype
118|type|button|Typeofbutton|"""submit"";""reset"";""button"""
119|type|button;input|Typeofformcontrol|inputtypekeyword
120|type|command|Typeofcommand|"""command"";""checkbox"";""radio"""
121|type|embed;object;script;source;style|Typeofembeddedresource|ValidMIMEtype
122|type|menu|Typeofmenu|"""context"";""toolbar"""
123|usemap|img;object|Nameofimagemaptouse|Validhash-namereference*
124|value|button;option|Valuetobeusedforformsubmission|Text
125|value|input|Valueoftheformcontrol|varies*
126|value|li|Ordinalvalueofthelistitem|Validinteger
127|value|meter;progress|Currentvalueoftheelement|Validfloatingpointnumber
128|value|param|Valueofparameter|Text
129|width|canvas;embed;iframe;img;input;object;video|Horizontaldimension|Validnon-negativeinteger
130|wrap|textarea|Howthevalueoftheformcontrolistobewrappedforformsubmission|"""soft"";""hard"""
