|Element|Description|Categories|Parents†|Children|Attributes|Interface
49|keygen|Cryptographickey-pairgeneratorformcontrol|flow;phrasing;interactive;listed;labelable;submittable;resettable;form-associated|phrasing|empty|globals;autofocus;challenge;disabled;form;keytype;name|HTMLKeygenElement
50|label|Captionforaformcontrol|flow;phrasing;interactive;form-associated|phrasing|phrasing*|globals;form;for|HTMLLabelElement
51|legend|Captionforfieldset||fieldset|phrasing|globals|HTMLLegendElement
52|li|Listitem||ol;ul;menu|flow|globals;value*|HTMLLIElement
53|link|Linkmetadata|metadata;flow*;phrasing*|head;noscript*;phrasing*|empty|globals;href;rel;media;hreflang;type;sizes|HTMLLinkElement
54|map|Imagemap|flow;phrasing*|phrasing|transparent;area*|globals;name|HTMLMapElement
55|mark|Highlight|flow;phrasing|phrasing|phrasing|globals|HTMLElement
56|menu|Menuofcommands|flow;interactive*|flow|li*;flow|globals;type;label|HTMLMenuElement
57|meta|Textmetadata|metadata;flow*;phrasing*|head;noscript*;phrasing*|empty|globals;name;http-equiv;content;charset|HTMLMetaElement
58|meter|Gauge|flow;phrasing;labelable;form-associated|phrasing|phrasing*|globals;value;min;max;low;high;optimum;form|HTMLMeterElement
59|nav|Sectionwithnavigationallinks|flow;sectioning;formatBlockcandidate|flow|flow|globals|HTMLElement
60|noscript|Fallbackcontentforscript|metadata;flow;phrasing|head*;phrasing*|varies*|globals|HTMLElement
61|object|Image,nestedbrowsingcontext,orplugin|flow;phrasing;embedded;interactive*;listed;submittable;form-associated|phrasing|param*;transparent|globals;data;type;name;usemap;form;width;height|HTMLObjectElement
62|ol|Orderedlist|flow|flow|li|globals;reversed;start|HTMLOListElement
63|optgroup|Groupofoptionsinalistbox||select|option|globals;disabled;label|HTMLOptGroupElement
64|option|Optioninalistboxorcomboboxcontrol||select;datalist;optgroup|text|globals;disabled;label;selected;value|HTMLOptionElement
65|output|Calculatedoutputvalue|flow;phrasing;listed;labelable;resettable;form-associated|phrasing|phrasing|globals;for;form;name|HTMLOutputElement
66|p|Paragraph|flow;formatBlockcandidate|flow|phrasing|globals|HTMLParagraphElement
67|param|Parameterforobject||object|empty|globals;name;value|HTMLParamElement
68|pre|Blockofpreformattedtext|flow;formatBlockcandidate|flow|phrasing|globals|HTMLPreElement
69|progress|Progressbar|flow;phrasing;labelable;form-associated|phrasing|phrasing*|globals;value;max;form|HTMLProgressElement
70|q|Quotation|flow;phrasing|phrasing|phrasing|globals;cite|HTMLQuoteElement
71|rp|Parenthesisforrubyannotationtext||ruby|phrasing|globals|HTMLElement
72|rt|Rubyannotationtext||ruby|phrasing|globals|HTMLElement
73|ruby|Rubyannotation(s)|flow;phrasing|phrasing|phrasing;rt;rp*|globals|HTMLElement
74|s|Inaccuratetext|flow;phrasing|phrasing|phrasing|globals|HTMLElement
75|samp|Computeroutput|flow;phrasing|phrasing|phrasing|globals|HTMLElement
76|script|Embeddedscript|metadata;flow;phrasing|head;phrasing|script,data,orscriptdocumentation*|globals;src;async;defer;type;charset|HTMLScriptElement
77|section|Genericdocumentorapplicationsection|flow;sectioning;formatBlockcandidate|flow|flow|globals|HTMLElement
78|select|Listboxcontrol|flow;phrasing;interactive;listed;labelable;submittable;resettable;form-associated|phrasing|option,optgroup|globals;autofocus;disabled;form;multiple;name;required;size|HTMLSelectElement
79|small|Sidecomment|flow;phrasing|phrasing|phrasing|globals|HTMLElement
80|source|Mediasourceforvideooraudio||video;audio|empty|globals;src;type;media|HTMLSourceElement
81|span|Genericphrasingcontainer|flow;phrasing|phrasing|phrasing|globals|HTMLSpanElement
82|strong|Importance|flow;phrasing|phrasing|phrasing|globals|HTMLElement
83|style|Embeddedstylinginformation|metadata;flow|head;noscript*;flow*|varies*|globals;media;type;scoped|HTMLStyleElement
84|sub|Subscript|flow;phrasing|phrasing|phrasing|globals|HTMLElement
85|summary|Captionfordetails||details|phrasing|globals|HTMLElement
86|sup|Superscript|flow;phrasing|phrasing|phrasing|globals|HTMLElement
87|table|Table|flow|flow|caption*;colgroup*;thead*;tbody*;tfoot*;tr*|globals;border|HTMLTableElement
88|tbody|Groupofrowsinatable||table|tr|globals|HTMLTableSectionElement
89|td|Tablecell|sectioningroot|tr|flow|globals;colspan;rowspan;headers|HTMLTableDataCellElement
90|textarea|Multilinetextfield|flow;phrasing;interactive;listed;labelable;submittable;resettable;form-associated|phrasing|text|globals;autofocus;cols;disabled;form;maxlength;name;placeholder;readonly;required;rows;wrap|HTMLTextAreaElement
91|tfoot|Groupoffooterrowsinatable||table|tr|globals|HTMLTableSectionElement
92|th|Tableheadercell||tr|phrasing|globals;colspan;rowspan;headers;scope|HTMLTableHeaderCellElement
93|thead|Groupofheadingrowsinatable||table|tr|globals|HTMLTableSectionElement
94|time|Datetime|flow;phrasing|phrasing|phrasing*|globals;datetime;pubdate|HTMLTimeElement
95|title|Documenttitle|metadata|head|text|globals|HTMLTitleElement
96|tr|Tablerow||table;thead;tbody;tfoot|th*;td|globals|HTMLTableRowElement
97|track|Timedtexttrack||audio;video|empty|globals;default;kind;label;src;srclang|HTMLTrackElement
98|u|Keywords|flow;phrasing|phrasing|phrasing|globals|HTMLElement
99|ul|List|flow|flow|li|globals|HTMLUListElement
100|var|Variable|flow;phrasing|phrasing|phrasing|globals|HTMLElement
101|video|Videoplayer|flow;phrasing;embedded;interactive|phrasing|source*;transparent*|globals;src;poster;preload;autoplay;mediagroup;loop;controls;width;height|HTMLVideoElement
102|wbr|Linebreakingopportunity|flow;phrasing|phrasing|empty|globals|HTMLElement
